"Horodateur","Quel est votre sexe ou genre actuel ? ( cochez toutes les réponses applicables)","Quel est votre âge ? ","Quel est votre niveau de diplôme ?","Avez-vous été directement confronté à l'épidémie de Covid (vous ou bien une personne de votre foyer infectée, précisez) ?","Si oui, à quel degré de gravité ? (Symptômes graves, hospitalisation...)","Est-ce qu’il a été difficile pour vous de vous adapter aux conditions imposées par le gouvernement (confinement, couvre-feu, télétravail, etc) ?","Vous sentez-vous différent depuis les mesures imposées par le gouvernement en rapport à l'épidémie (confinement, couvre feu) ?","Si oui, quels sont les symptômes que vous observez ?","Dans quelle mesure votre vie a-t-elle été affectée par les contraintes engendrées par l'épidémie ?","Comment évaluez-vous la gestion de cette épidémie par le gouvernement ? ","Les contraintes imposées par l'état d'urgence sanitaire vous semblent-elles ?","Les contraintes imposées par l'état d'urgence sanitaire vous semblent-elles ? ","Les contraintes imposées par l'état d'urgence sanitaire vous semblent-elles ?","Avez vous le sentiment d’avoir bien été informé par les médias ?","Quel degré de gravité donneriez-vous à l'épidémie de Covid en France ? ","Dans combien de temps pensez-vous que l'épidémie sera derrière nous ? ","Porter le masque en présence d'autres personnes même à l'intérieur ","Porter le masque dans la rue et les lieux publics","Se laver les mains en rentrant chez soi","Se tenir au moins à 1 mètre des autres personnes","Se faire tester au moindre symptôme","Eviter les foules et autres rassemblements","Rester chez soi le plus souvent possible","Utiliser toutes les ressources du télétravail","Utiliser une solution hydroalcoolique en allant au supermarché","Saluer sans serrer la main et arrêter les embrassades","Allez-vous vous faire vacciner dès que ce sera possible ?  ","Conseillez-vous à vos proches, surtout les plus âgés, de se faire vacciner ? ","Est-ce qu'il vous semble important que les célébrités et/ou les personnalités politiques puissent se faire vacciner publiquement?","Est-ce que le fait que vos proches soient vaccinés vous inciterait à vous faire vacciner vous aussi ?","Pensez-vous être correctement informé.e des vaccins et des qualités/défauts des vaccins qui vous sont proposés ?","Comment évaluez-vous les risques d'effets secondaires graves des vaccins ?","Êtes-vous favorable à ce que les personnes qui se font vacciner puissent choisir le type de vaccin (Pfizer, Astra Zeneca, Sputnik V,...) ?","Comprenez-vous le caractère facultatif du vaccin en France ?","Êtes-vous favorable à un ""Passeport Santé"", qui permet aux personnes vaccinées d'accéder aux salles de sports, cinémas et autres salles de spectacle ?"," [Hommes politiques]"," [ Grands Laboratoires Pharmaceutiques]"," [La famille]"," [Les amis]"," [Le voisinage ]"," [Médecine généraliste]"," [La justice]"," [L'administration]"," [L'hôpital public]"," [La police]"," [L'enseignement]"," [Pharmacies]"," [Les grands médias]"," [Les réseaux sociaux]"," [Les distributeurs]"," [La science]"," [Les commerçants]"
"2021/03/15 10:14:15 PM UTC+2","Femme","30-39 ans","Baccalauréat","Non","","10","Non","","7","5","5","5","4","6","3","2 ans (Pas avant 2023)","Souvent","Systématiquement","Systématiquement","Souvent","Rarement","Souvent","Souvent","Rarement","Systématiquement","Systématiquement","5","9","Oui","Oui","Non","4","Oui","Non","10","Faible confiance","Faible confiance","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée"
"2021/03/15 10:16:13 PM UTC+2","Femme","20-29 ans","DEUG, BTS, DUT, DEUST","Non ","1","8","Oui","Stress;Déprime/baisse de morale","7","2","6","6","7","3","10","2 ans (Pas avant 2023)","Souvent","Systématiquement","Systématiquement","Souvent","Rarement","Souvent","Souvent","Rarement","Souvent","Systématiquement","5","9","Oui","Non","Non","8","Oui","Oui","3","Faible confiance","Confiance modérée","Confiance modérée","Confiance modérée","Faible confiance","Confiance modérée","Faible confiance","Faible confiance","Confiance modérée","Faible confiance","Confiance modérée","Confiance modérée","Faible confiance","Faible confiance","Confiance modérée","Confiance absolue","Confiance absolue"
"2021/03/15 10:27:27 PM UTC+2","Femme","15-19 ans","Baccalauréat","Non","","10","Non","Déprime/baisse de morale","0","3","7","7","7","3","7","3 mois (Juin 2021)","Ça dépend des situations","Souvent","Systématiquement","Rarement","","Rarement","Jamais","Ça dépend des situations","Souvent","Rarement","0","0","Oui","Oui","Non","10","Non","Non","1","Aucune confiance","Faible confiance","Confiance modérée","Confiance modérée","Confiance modérée","Aucune confiance","Aucune confiance","Aucune confiance","Aucune confiance","Aucune confiance","Aucune confiance","Aucune confiance","Aucune confiance","Faible confiance","Aucune confiance","Faible confiance","Faible confiance"
"2021/03/15 10:33:42 PM UTC+2","Femme","20-29 ans","DEUG, BTS, DUT, DEUST","Npn","","8","Oui","Déprime/baisse de morale;Baisse de productivité","6","3","8","6","5","8","7","1 an (Pas avant 2022)","Systématiquement","Systématiquement","Systématiquement","Rarement","Jamais","Rarement","Rarement","Rarement","Systématiquement","Systématiquement","0","0","Non","Non","Non","5","Oui","Oui","3","Faible confiance","Confiance modérée","Confiance absolue","Confiance absolue","Confiance absolue","Confiance modérée","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Confiance modérée","Aucune confiance","Aucune confiance","Faible confiance","Confiance absolue","Faible confiance"
"2021/03/15 10:34:51 PM UTC+2","Femme","40-55 ans","Master 2","Non","","7","Non","","5","7","7","7","8","7","8","2 ans (Pas avant 2023)","Ça dépend des situations","Systématiquement","Systématiquement","Systématiquement","Rarement","Systématiquement","Systématiquement","Jamais","Systématiquement","Systématiquement","10","10","Non","Oui","Non","3","Non","Oui","5","Confiance modérée","Confiance modérée","Confiance absolue","Confiance absolue","Faible confiance","Confiance absolue","Confiance modérée","Confiance modérée","Confiance absolue","Confiance modérée","Confiance absolue","Confiance modérée","Faible confiance","Aucune confiance","Faible confiance","Confiance absolue","Confiance modérée"
"2021/03/15 10:50:31 PM UTC+2","Femme","20-29 ans","Master 2","Moi, ma mère et surement mon père et mon frère aussi ","1","4","Oui","Stress;Déprime/baisse de morale","8","4","3","1","4","0","5","9 mois (Décembre 2021)","Souvent","Souvent","Systématiquement","Souvent","Ça dépend des situations","Rarement","Rarement","Jamais","Souvent","Souvent","1","2","Non","Non","Non","7","Oui","Oui","0","Aucune confiance","Faible confiance","Confiance modérée","Confiance modérée","Faible confiance","Confiance modérée","Faible confiance","Faible confiance","Confiance absolue","Aucune confiance","Confiance modérée","Confiance absolue","Faible confiance","Faible confiance","Faible confiance","Confiance absolue","Faible confiance"
"2021/03/15 11:04:27 PM UTC+2","Femme","20-29 ans","Baccalauréat","Non","","8","Oui","Fatigue ","6","3","3","2","5","1","5","1 an (Pas avant 2022)","Systématiquement","Systématiquement","Systématiquement","Rarement","Jamais","Rarement","Souvent","Ça dépend des situations","Jamais","Souvent","0","0","Oui","Non","Non","8","Non","Oui","0","Faible confiance","Faible confiance","Confiance absolue","Confiance absolue","Faible confiance","Confiance absolue","Faible confiance","Confiance modérée","Aucune confiance","Confiance modérée","Confiance modérée","Confiance modérée","Aucune confiance","Faible confiance","Faible confiance","Confiance modérée","Confiance modérée"
"2021/03/15 11:05:35 PM UTC+2","Femme","20-29 ans","Maîtrise, Master 1","Oui","2","6","Oui","Anxiété;Stress;Déprime/baisse de morale;Baisse de productivité","8","6","6","6","9","6","7","6 mois (Septembre 2021)","Ça dépend des situations","Systématiquement","Systématiquement","Souvent","Rarement","Jamais","Souvent","Systématiquement","Jamais","Systématiquement","6","10","Oui","Oui","Oui","1","Non","Non","8","Confiance modérée","Faible confiance","Confiance modérée","Confiance modérée","Aucune confiance","Confiance absolue","Faible confiance","Confiance modérée","Confiance modérée","Faible confiance","Confiance modérée","Confiance absolue","Faible confiance","Aucune confiance","Faible confiance","Confiance modérée","Faible confiance"
"2021/03/15 11:16:25 PM UTC+2","Homme","40-55 ans","DEUG, BTS, DUT, DEUST","Non","","3","Non","","2","5","8","4","7","8","5","6 mois (Septembre 2021)","Ça dépend des situations","Systématiquement","Systématiquement","Souvent","Rarement","Souvent","Rarement","Rarement","Systématiquement","Systématiquement","8","9","Non","Oui","Non","8","Oui","Non","8","Confiance modérée","Faible confiance","Confiance absolue","Confiance modérée","Faible confiance","Confiance absolue","Aucune confiance","Confiance modérée","Confiance absolue","Confiance modérée","Faible confiance","Confiance modérée","Faible confiance","Aucune confiance","Confiance modérée","Confiance modérée","Confiance absolue"
"2021/03/15 11:26:09 PM UTC+2","Femme","20-29 ans","Baccalauréat","Non","","8","Oui","Stress;Déprime/baisse de morale;Baisse de productivité","8","2","6","6","6","5","5","1 an (Pas avant 2022)","Ça dépend des situations","Systématiquement","Systématiquement","Rarement","Jamais","Rarement","Rarement","Jamais","Souvent","Souvent","3","8","Non","Non","Non","7","Oui","Oui","7","Aucune confiance","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Faible confiance","Faible confiance","Confiance absolue","Faible confiance","Confiance modérée","Confiance absolue","Confiance modérée","Faible confiance","Confiance modérée","Confiance absolue","Confiance modérée"
"2021/03/15 11:34:27 PM UTC+2","Femme","40-55 ans","Licence, Licence professionnelle","Oui ","4","9","Oui","Anxiété;Stress;Déprime/baisse de morale","7","2","6","5","8","5","9","1 an (Pas avant 2022)","Souvent","Systématiquement","Systématiquement","Souvent","Systématiquement","Systématiquement","Souvent","Ça dépend des situations","Systématiquement","Systématiquement","5","8","Non","Non","Non","7","Oui","Oui","0","Faible confiance","Confiance modérée","Confiance absolue","Confiance absolue","Confiance modérée","Confiance absolue","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance absolue","Faible confiance","Confiance modérée","Confiance modérée","Confiance modérée","Confiance absolue"
"2021/03/16 12:02:25 AM UTC+2","Homme","20-29 ans","Licence, Licence professionnelle","Non","","4","Non","","8","5","7","5","6","3","4","1 an (Pas avant 2022)","Ça dépend des situations","Ça dépend des situations","Souvent","Souvent","Jamais","Systématiquement","Souvent","Jamais","Systématiquement","Souvent","10","10","Non","Non","Non","5","Oui","Oui","10","Aucune confiance","Aucune confiance","Confiance absolue","Confiance modérée","Faible confiance","Confiance absolue","Faible confiance","Faible confiance","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Faible confiance","Faible confiance","Faible confiance","Confiance modérée","Confiance modérée"
"2021/03/16 12:12:04 AM UTC+2","Femme","30-39 ans","Baccalauréat","Non","","8","Oui","Anxiété;Déprime/baisse de morale;Baisse de productivité","9","2","4","2","5","1","7","6 mois (Septembre 2021)","Systématiquement","Ça dépend des situations","Systématiquement","Souvent","Jamais","Souvent","Ça dépend des situations","Ça dépend des situations","Systématiquement","Ça dépend des situations","2","10","Oui","Non","Non","8","Oui","Non","6","Aucune confiance","Aucune confiance","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Aucune confiance","Aucune confiance","Aucune confiance","Confiance modérée","Confiance modérée"
"2021/03/16 12:20:21 AM UTC+2","Homme","40-55 ans","DEUG, BTS, DUT, DEUST","Non","","2","Non","","2","7","8","8","8","3","4","2 ans (Pas avant 2023)","Systématiquement","Systématiquement","Souvent","Souvent","Rarement","Rarement","Rarement","Jamais","Systématiquement","Systématiquement","1","8","Non","Oui","Non","5","Oui","Oui","0","Confiance modérée","Faible confiance","Confiance absolue","Confiance modérée","Faible confiance","Confiance modérée","Confiance modérée","Faible confiance","Confiance absolue","Confiance absolue","Faible confiance","Confiance modérée","Aucune confiance","Aucune confiance","Aucune confiance","Confiance modérée","Confiance absolue"
"2021/03/16 12:41:56 AM UTC+2","Femme","40-55 ans","Master 2","Mon mari","2","1","Non","","3","5","8","6","8","5","8","6 mois (Septembre 2021)","Systématiquement","Systématiquement","Systématiquement","Systématiquement","Rarement","Systématiquement","Systématiquement","Ça dépend des situations","Systématiquement","Systématiquement","8","10","Oui","Oui","Oui","6","Non","Oui","7","Confiance modérée","Confiance absolue","Faible confiance","Faible confiance","Faible confiance","Confiance absolue","Confiance modérée","Confiance modérée","Confiance absolue","Confiance absolue","Confiance modérée","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Confiance absolue","Confiance modérée"
"2021/03/16 1:38:46 AM UTC+2","Femme","40-55 ans","Maîtrise, Master 1","Non","","1","Non","","4","3","6","4","5","7","6","9 mois (Décembre 2021)","Systématiquement","Systématiquement","Systématiquement","Systématiquement","Systématiquement","Systématiquement","Systématiquement","Ça dépend des situations","Souvent","Systématiquement","9","10","Non","Non","Oui","4","Oui","Non","5","Faible confiance","Confiance modérée","Faible confiance","Faible confiance","Faible confiance","Confiance absolue","Faible confiance","Faible confiance","Confiance absolue","Faible confiance","Faible confiance","Confiance modérée","Confiance modérée","Aucune confiance","Aucune confiance","Confiance absolue","Aucune confiance"
"2021/03/16 2:06:51 AM UTC+2","Homme","20-29 ans","Master 2","Non","","6","Non","Lassitude ","5","3","5","3","4","1","4","6 mois (Septembre 2021)","Ça dépend des situations","Systématiquement","Ça dépend des situations","Rarement","Ça dépend des situations","Ça dépend des situations","Souvent","Souvent","Ça dépend des situations","Souvent","3","3","Non","Non","Non","6","Oui","Oui","0","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance absolue","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Aucune confiance","Aucune confiance","Aucune confiance","Confiance modérée","Faible confiance"
"2021/03/16 7:33:08 AM UTC+2","Femme","40-55 ans","Brevet","Non ","","0","Non","Stress","0","10","10","10","10","10","5","2 ans (Pas avant 2023)","Rarement","Systématiquement","Systématiquement","Ça dépend des situations","Systématiquement","Systématiquement","Systématiquement","Ça dépend des situations","Systématiquement","Systématiquement","5","5","Non","Oui","Oui","5","Oui","Oui","6","Aucune confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Aucune confiance","Aucune confiance","Faible confiance","Faible confiance","Faible confiance"
"2021/03/16 8:17:46 AM UTC+2","Homme","56- 65 ans","Maîtrise, Master 1","Non","","5","Oui","Anxiété","7","6","7","8","9","1","7","1 an (Pas avant 2022)","Souvent","Souvent","Rarement","Souvent","Rarement","Souvent","Souvent","Systématiquement","Systématiquement","Souvent","10","10","Non","Oui","Non","2","Oui","Oui","9","Faible confiance","Faible confiance","Confiance modérée","Confiance modérée","Faible confiance","Confiance modérée","Confiance modérée","Faible confiance","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Faible confiance","Aucune confiance","Faible confiance","Confiance modérée","Faible confiance"
"2021/03/16 8:27:07 AM UTC+2","Homme","56- 65 ans","DEUG, BTS, DUT, DEUST","Non","","8","Oui","Anxiété;Déprime/baisse de morale","9","8","8","9","9","6","10","Elle va menacer pendant longtemps","Systématiquement","Systématiquement","Souvent","Systématiquement","Souvent","Systématiquement","Systématiquement","Souvent","Systématiquement","Systématiquement","10","10","Oui","Oui","Oui","2","Oui","Non","10","Confiance absolue","Confiance modérée","Confiance absolue","Confiance absolue","Confiance absolue","Confiance absolue","Faible confiance","Confiance absolue","Confiance absolue","Confiance absolue","Faible confiance","Confiance modérée","Faible confiance","Aucune confiance","Aucune confiance","Confiance modérée","Faible confiance"
"2021/03/16 8:33:54 AM UTC+2","Homme","56- 65 ans","Master 2","frère touché","4","8","Oui","Baisse de productivité;mélancolie","7","7","9","8","9","5","10","1 an (Pas avant 2022)","Rarement","Systématiquement","Systématiquement","Souvent","Souvent","Souvent","Souvent","Souvent","Systématiquement","Systématiquement","10","10","Non","Non","Oui","3","Oui","Non","10","Confiance modérée","Faible confiance","Confiance absolue","Confiance absolue","Confiance modérée","Confiance absolue","Confiance modérée","Faible confiance","Confiance absolue","Confiance modérée","Confiance absolue","Confiance absolue","Confiance modérée","Aucune confiance","Aucune confiance","Confiance modérée","Faible confiance"
"2021/03/16 8:51:54 AM UTC+2","Homme","56- 65 ans","Maîtrise, Master 1","Non","","5","Oui","Anxiété","7","6","7","8","9","1","7","1 an (Pas avant 2022)","Souvent","Souvent","Rarement","Souvent","Rarement","Souvent","Souvent","Systématiquement","Systématiquement","Souvent","10","10","Non","Oui","Non","2","Oui","Oui","9","Faible confiance","Faible confiance","Confiance modérée","Confiance modérée","Faible confiance","Confiance modérée","Confiance modérée","Faible confiance","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Faible confiance","Aucune confiance","Faible confiance","Confiance modérée","Faible confiance"
"2021/03/16 9:30:23 AM UTC+2","Femme","56- 65 ans","Master 2","non","","5","Non","","8","5","5","8","5","3","8","6 mois (Septembre 2021)","Rarement","Systématiquement","Systématiquement","Ça dépend des situations","Jamais","Rarement","Jamais","Souvent","Jamais","Systématiquement","10","10","Oui","Non","Oui","2","Non","Non","10","Confiance modérée","Confiance modérée","Confiance absolue","Confiance absolue","Confiance modérée","Confiance modérée","Confiance absolue","Faible confiance","Confiance modérée","Confiance modérée","Confiance modérée","Confiance absolue","Confiance modérée","Aucune confiance","Confiance modérée","Confiance modérée","Confiance modérée"
